Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Dawn,Graham,Donald Ridges 1725,Staceyport,20489,Danmark,DK,19550602-4759,+45,647-788-3867x4689,1955-06-02,True
Arvid,Mohammed,Kyrkgatan 65,Uppsala,21328,Sverige,SE,19911013-1902,+46,08-849 979 83,1991-10-13,True
Jessica,Williams,Wolfe Circle 484,Yolandastad,84868,Danmark,DK,19910121-4162,+45,001-727-657-7625,1991-01-21,True
Cecilie,Arnesen,Bergringen 806,Haraldstad,7075,Norge,NO,19980726-9193,+47,91 55 74 12,1998-07-26,True
Juhani,Lankinen,Louhenkatu 891,Tuusula,69574,Finland,FI,19480204-727Y,+358,+358 564137709,1948-02-04,True
Cecilie,Næss,Pettersenfaret 9,Thorsen,7018,Norge,NO,19680925-2192,+47,450 64 526,1968-09-25,True
Caroline,Bergström,Åkervägen 1,Karlskrona,43649,Sverige,SE,19400513-5608,+46,092-70 89 96,1940-05-13,True
Alf,Moen,Danielsenjordet 2,Trondodden,1635,Norge,NO,19570810-9575,+47,+47 75 41 50 39,1957-08-10,False
Torill,Mathisen,Isaksenkollen 1,Hildefoss,9399,Norge,NO,19960422-1747,+47,02736854,1996-04-22,True
Alexander,Bäckman,Parkgatan 43,Malmö,42218,Sverige,SE,19450511-6053,+46,08-70 35 62,1945-05-11,True
Else,Holm,Abrahamsentunet 31,Finneid,8381,Norge,NO,19670216-8439,+47,25 97 34 98,1967-02-16,True
Asbjørn,Mikkelsen,Birkelandstykket 68,Arnesen,2001,Norge,NO,19571211-9652,+47,26 06 65 02,1957-12-11,True
Oskar,Larsson,Furugatan 6,Södertälje,54076,Sverige,SE,19481217-1655,+46,08-675 560 57,1948-12-17,True
Jonna,Kiuru,Winqvistinpolku 71,Ruovesi,28075,Finland,FI,19450920-639K,+358,(+358) 425258787,1945-09-20,True
Stig,Larsen,Johannessentunet 64E,Reidunodden,8357,Norge,NO,19601017-9405,+47,81438906,1960-10-17,True
Lovisa,Bengtsson,Järnvägsgatan 420,Ängelholm,91621,Sverige,SE,19931202-0860,+46,08-04 93 82,1993-12-02,True
Morten,Johannessen,Martinsenstubben 5,Christensen,0138,Norge,NO,19630125-7690,+47,80968344,1963-01-25,True
Jenni,Savolainen,Eerik Pyhän bulevardi 9,Heinävesi,88994,Finland,FI,19431207-3221,+358,0953355239,1943-12-07,True
Åke,Pettersson,Järnvägsstigen 908,Skellefteå,57170,Sverige,SE,19951022-2666,+46,08-558 102 26,1995-10-22,True
Aleksanteri,Mäki,Böstaksenbulevardi 8,Haapajärvi,67626,Finland,FI,19980417-529J,+358,0616886692,1998-04-17,True
Tony,Davidsson,Fabriksgränd 336,Skövde,81243,Sverige,SE,19581006-2912,+46,+46 (0)8 197 066 70,1958-10-06,True
Kim,Bakke,Bergtoppen 18,Ragnhildhelle,0187,Norge,NO,19770519-8326,+47,928 40 510,1977-05-19,True
Lise,Jørgensen,Paulsenmarka 2B,Sivdal,7288,Norge,NO,19520518-7436,+47,41021345,1952-05-18,True
Erik,Nilsson,Kyrkgatan 402,Sandviken,43153,Sverige,SE,19450419-0258,+46,079-423 64 03,1945-04-19,True
Jeffrey,Coleman,Brittany Crescent 0829,Alexisland,38657,Danmark,DK,19610622-1313,+45,(509)522-1437,1961-06-22,True
Silje,Hauge,Danielsenstien 84A,Sandereid,3920,Norge,NO,19661211-4381,+47,47401321,1966-12-11,True
Eleonor,Hedin,Bäckgatan 8,Göteborg,29294,Sverige,SE,19600112-1717,+46,068-48 92 12,1960-01-12,True
Dorothy,Nichols,Allison Pass 24153,Armstrongville,69286,Danmark,DK,19870909-5921,+45,001-683-376-2073,1987-09-09,True
Charlie,Persson,Björkgatan 396,Karlskoga,17562,Sverige,SE,19770925-1589,+46,0118-712 70,1977-09-25,True
Cornelia,Eriksson,Granstigen 80,Falun,24849,Finland,SE,19971128-1669,+46,08-042 08 12,1997-11-28,True
Olof,Isaksson,Granvägen 631,Sundsvall,62723,Sverige,SE,19610614-6967,+46,+46 (0)8 815 213 78,1961-06-14,True
Ingrid,Hallberg,Aspvägen 0,Landskrona,31620,Sverige,SE,19440225-6028,+46,079-653 97 00,1944-02-25,True
Ian,Ramirez,Schroeder Pike 369,New Randallshire,84166,Danmark,DK,19550405-8743,+45,(556)692-7411,1955-04-05,True
Elisabet,Kristiansson,Ekgatan 5,Alingsås,82985,Sverige,SE,19810319-5687,+46,08-885 93 08,1981-03-19,True
Jenny,Carlson,Nygatan 102,Jönköping,61732,Sverige,SE,19460127-8143,+46,0337-287 49,1946-01-27,True
Ilmari,Taskinen,Betonipolku 71,Rautjärvi,89029,Finland,FI,19530218-029J,+358,+358 70 2305474,1953-02-18,True
August,Wallgren,Kyrkovägen 8,Landskrona,56544,Sverige,SE,19991105-4554,+46,08-285 689 47,1999-11-05,True
Kristina,Walsh,Taylor Mall 462,North Robert,49821,Danmark,DK,19570720-2788,+45,748-688-5377,1957-07-20,True
Sondre,Simonsen,Mathisenplassen 82,Johnsen,1017,Norge,NO,19560919-2502,+47,54 09 52 42,1956-09-19,True
Gro,Sandvik,Thorsenløkka 98C,Pålstad,9187,Norge,NO,19650411-0702,+47,23077216,1965-04-11,True
Kristina,Lundberg,Villagatan 8,Växjö,53948,Sverige,SE,19780607-2905,+46,08-133 55 25,1978-06-07,True
Reino,Alatalo,Tuulilasinkuja 040,Viitasaari,41147,Finland,FI,19970127-814T,+358,086 225 9982,1997-01-27,True
Kirsten,Helland,Gundersenmyra 530,Ali,7257,Norge,NO,19581017-0260,+47,47014309,1958-10-17,True
Vegard,Iversen,Sandvikengen 8,Lie,3071,Norge,NO,19990131-2578,+47,+4741945876,1999-01-31,True
Anna,Adolfsson,Ekgatan 978,Karlstad,71045,Sverige,SE,19850101-9120,+46,+46 (0)8 793 604 25,1985-01-01,True
Torill,Gulbrandsen,Karlsengrenda 9,Thomasfoss,4912,Norge,NO,19800826-7440,+47,48441361,1980-08-26,True
Erik,Johansson,Parkstigen 88,Gävle,28992,Sverige,SE,19581031-1116,+46,+46 (0)273 859 88,1958-10-31,True
Michael,Morales,Potter Trafficway 30510,South Deborah,47445,Dalmark,DK,19950720-0664,+45,718-379-4450x27811,1995-07-20,True
Malin,Nguyen,Gundersenhaugen 2,Amundsen,9328,Norge,NO,19820310-1761,+47,979 95 542,1982-03-10,True
Nina,Tirkkonen,Otermankuja 10,Inkoo,91412,Finland,FI,19930111-322L,+358,+358 44 9025862,1993-01-11,True
Erik,Werner,Aspvägen 58,Piteå,67603,Sverige,SE,19740109-9358,+46,08-986 457 59,1974-01-09,True
Sara,Halvarsson,Skogsgränd 6,Varberg,45636,Sverige,SE,19810510-6679,+46,+46 (0)014 937 52,1981-05-10,True
Leo,Ljunggren,Idrottsgränd 815,Västerås,32736,Sverige,SE,19650904-4735,+46,+46 (0)8 507 916 48,1965-09-04,True
Arne,Andersson,Skolgatan 2,Södertälje,31121,Sverige,SE,19521107-5271,+46,08-92 93 08,1952-11-07,True
Michael,Johansson,Stationstorget 4,Örnsköldsvik,49586,Sverige,SE,19960903-7363,+46,090-445 95 20,1996-09-03,True
Sebastian,Bergström,Grangränd 026,Skellefteå,85371,Sverige,SE,19800305-2649,+46,0834-168 58,1980-03-05,True
Camilla,Mathisen,Næssvika 6,Monicastrand,3958,Norge,NO,19481206-8921,+47,92932111,1948-12-06,True
Anna,Khan,Kyrkotorget 88,Halmstad,16026,Sverige,SE,19551112-8395,+46,0375-914 19,1955-11-12,True
Gerd,Amundsen,Mikkelsenfaret 27,Erikgrunn,7686,Norge,NO,19801125-4764,+47,75 71 76 80,1980-11-25,True
Jessica,Lane,Johnson Pines 0553,Kevintown,28039,Danmark,DK,19710427-0469,+45,001-885-679-1079x2914,1971-04-27,True
Tommy,Hägg,Nygatan 3,Luleå,88219,Sverige,SE,19401104-4562,+46,0250-18 97 65,1940-11-04,True
Christian,Fredriksen,Andresentjernet 03A,Aasen,1625,Norge,NO,19601129-0236,+47,48026681,1960-11-29,True
Carina,Jonsson,Industritorget 874,Växjö,39943,Sverige,SE,19410728-0845,+46,+46 (0)8 463 656 35,1941-07-28,True
Erik,Jönsson,Parkvägen 34,Trollhättan,89495,Sverige,SE,19720515-4883,+46,08-31 70 38,1972-05-15,True
Peter,Eriksson,Stortorget 8,Umeå,83941,Sverige,SE,19460227-5142,+46,+46 (0)652 128 93,1946-02-27,True
Samuli,Hietanen,Elontie 070,Kannonkoski,46812,Finland,FI,19641029-212Y,+358,+358388316300,1964-10-29,True
Justin,Harris,Sutton Mills 99972,Walkershire,20384,Danmark,DK,19790120-2006,+45,+1-319-879-0100x8947,1979-01-20,True
Jenny,Hanssen,Olsenskrenten 7,Solveighamn,6897,Norge,NO,19931214-9501,+47,+4745406218,1993-12-14,True
Johnny,Nilsson,Kyrkstigen 42,Jönköping,49169,Sverige,SE,19880711-2291,+46,+46 (0)23 74 54 71,1988-07-11,True
Kevin,Brooks,Bridget Ramp 42987,Costashire,93589,Danmark,DK,19590614-5597,+45,426.418.5015x279,1959-06-14,False
Erik,Nygård,Sivertsenroa 4E,Næss,7936,Norge,NO,19441123-9331,+47,91786803,1944-11-23,True
David,Rice,Anthony Villages 2245,East Christina,51724,Norge,DK,19870916-6271,+45,001-366-770-3546,1987-09-16,True
Maja,Lundell,Villastigen 7,Skellefteå,43677,Sverige,SE,19530417-1503,+46,08-678 42 67,1953-04-17,True
Arild,Mikkelsen,Brekketunet 8,Bakke,1895,Norge,NO,19740802-5031,+47,73 30 68 99,1974-08-02,True
Charlotte,Knutsson,Gengränd 379,Karlskrona,33104,Sverige,SE,19830702-0947,+46,092-16 42 34,1983-07-02,True
David,Jonsson,Fabriksstigen 066,Eskilstuna,33921,Sverige,SE,19861108-7403,+46,+46 (0)027 318 04,1986-11-08,True
Isak,Petersson,Idrottstorget 5,Södertälje,56608,Sverige,SE,19690105-5116,+46,0709-704 54,1969-01-05,True
Emelie,Dahlström,Furugränd 595,Växjö,41917,Sverige,SE,19500711-8072,+46,073-88 98 14,1950-07-11,True
Carl,Eriksson,Skolgatan 845,Karlstad,77420,Sverige,SE,19510512-1380,+46,08-689 835 39,1951-05-12,True
Kara,Roberts,William Drive 6316,East Thomas,37524,Danmark,DK,19681103-1797,+45,(320)372-6050,1968-11-03,True
Wayne,Graham,Nguyen Square 86123,West Christopher,82262,Danmark,DK,19860408-6706,+45,001-755-448-9321x445,1986-04-08,True
Morgan,Freeman,Natasha Mill 955,East Dianeburgh,44239,Danmark,DK,19871026-4825,+45,+1-652-479-0400x9996,1987-10-26,True
Alvar,Eriksson,Skolstigen 15,Falun,89863,Sverige,SE,19411119-3844,+46,08-22 41 61,1941-11-19,True
Stina,Bergström,Furustigen 40,Eskilstuna,47587,Sverige,SE,19540619-8211,+46,08-124 169 12,1954-06-19,True
Moa,Johansson,Strandgatan 356,Helsingborg,20624,Sverige,SE,19410510-2180,+46,005-58 64 43,1941-05-10,True
Rolf,Bakken,Aunestranda 3,Strøm,9434,Norge,NO,19951124-9800,+47,915 57 541,1995-11-24,True
Margareta,Fredriksson,Ekvägen 0,Gävle,26298,Sverige,SE,19470804-1567,+46,+46 (0)8 992 852 77,1947-08-04,True
Jörgen,Bergström,Genvägen 257,Piteå,36701,Sverige,SE,19720903-9920,+46,049-112 54 15,1972-09-03,True
Stig,Roos,Industrivägen 49,Kristianstad,34588,Sverige,SE,19750517-3723,+46,027-31 36 22,1975-05-17,True
Rebecca,Löf,Ringvägen 57,Linköping,94647,Sverige,SE,19890315-8252,+46,0079-45 46 05,1989-03-15,True
Cathrine,Lie,Hansenmarka 3,Nygård,3351,Norge,NO,19631101-7713,+47,89639450,1963-11-01,True
Irene,Johansen,Nguyenstubben 93,Erikbø,4719,Norge,NO,19800611-8077,+47,934 74 812,1980-06-11,True
Ulrika,Englund,Kvarngränd 75,Piteå,29725,Sverige,SE,19750322-9530,+46,08-682 00 87,1975-03-22,True
Anna,Johansson,Ekvägen 023,Södertälje,47806,Sverige,SE,19660816-3198,+46,+46 (0)998 961 42,1966-08-16,True
Ismail,Sandberg,Villatorget 77,Borås,97166,Sverige,SE,19681004-4564,+46,+46 (0)8 009 370 64,1968-10-04,True
Birgitta,Nilsson,Backstigen 677,Karlskrona,55238,Sverige,SE,19510725-9611,+46,+46 (0)354 885 31,1951-07-25,True
Gunn,Simonsen,Aligrenda 07,Marensund,1523,Norge,NO,19800911-7992,+47,+47 40 87 92 43,1980-09-11,True
Jan,Malmberg,Stationsvägen 6,Kalmar,75287,Sverige,SE,19960527-6393,+46,+46 (0)349 837 49,1996-05-27,True
Frank,Olsson,Järnvägsgatan 0,Trollhättan,22703,Sverige,SE,19641223-8321,+46,0797-52 90 92,1964-12-23,True
Louise,Olsson,Furuvägen 75,Linköping,33396,Sverige,SE,19820920-6214,+46,+46 (0)14 52 95 14,1982-09-20,True
Ludwig,Danielsson,Björkgatan 63,Umeå,98279,Sverige,SE,19970419-5185,+46,069-23 60 40,1997-04-19,True
Molly,Snyder,Kenneth Lane 328,North Lisa,05304,Danmark,DK,19471015-3288,+45,501-657-7130x06075,1947-10-15,True
Peter,Nilsson,Parkvägen 6,Lidingö,63477,Sverige,SE,19911124-5917,+46,050-207 17 11,1991-11-24,True
Kari,Andersen,Hanssengata 8,Olaø,1611,Norge,NO,19650427-4718,+47,44619572,1965-04-27,True
Nils,Hansson,Ringstigen 760,Örebro,16202,Sverige,SE,19520426-9699,+46,+46 (0)136 336 98,1952-04-26,True
Veronica,Edberg,Gentorget 644,Ängelholm,46913,Sverige,SE,19950305-7568,+46,+46 (0)71 92 07 95,1995-03-05,True
Eskil,Holmström,Furustigen 13,Stockholm,85770,Sverige,SE,19871212-2962,+46,+46 (0)53 22 03 68,1987-12-12,True
Kjell,Sæther,Pettersentoppen 25H,Elseøy,6856,Norge,NO,19631208-6744,+47,50587391,1963-12-08,True
Rita,Andresen,Eriksenskrenten 6,Myklebust,9445,Norge,NO,19800504-6343,+47,33 68 36 51,1980-05-04,True
Ahmad,Johansson,Backtorget 06,Karlskoga,43012,Sverige,SE,19470516-7210,+46,0841-39 97 66,1947-05-16,True
Anton,Johansson,Åkergatan 16,Örnsköldsvik,39806,Sverige,SE,19421024-2524,+46,046-440 84 46,1942-10-24,True
Julie,Gray,Julie Ways 61462,Curtisborough,90624,Danmark,DK,19540809-4353,+45,490-426-1456,1954-08-09,True
Wilhelm,Melin,Åkergränd 142,Ängelholm,47060,Sverige,SE,19600128-9863,+46,0741-403 84,1960-01-28,True
Karl,Hansen,Mikkelsenstien 58,Kjerstihamn,4763,Norge,NO,19501207-9389,+47,25939753,1950-12-07,True
Johan,Mohammad,Kyrkostigen 900,Falun,58126,Sverige,SE,19430912-3310,+46,+46 (0)230 081 56,1943-09-12,True
Maja,Niklasson,Järnvägsgatan 4,Jönköping,22616,Sverige,SE,19510621-8247,+46,096-27 39 58,1951-06-21,True
Christer,Larsson,Skolvägen 8,Västerås,72660,Norge,SE,19690523-0892,+46,027-795 83 23,1969-05-23,True
Ida,Andersson,Parkgränd 1,Falun,28699,Sverige,SE,19791028-9687,+46,048-342 60 31,1979-10-28,True
Marie,Karlsson,Industrivägen 6,Malmö,14754,Sverige,SE,19700105-3276,+46,009-04 77 98,1970-01-05,True
Ulf,Björk,Kyrkvägen 1,Skövde,10820,Sverige,SE,19500219-6831,46,08-99 97 52,1950-02-19,True
Gunnar,Ruud,Jacobsenmarka 24A,Mathisen,3590,Norge,NO,19440619-6861,47,+4702626481,1944-06-19,True
Kerstin,Nilsson,Parkvägen 67,Mölndal,37818,Sverige,SE,19861219-9341,+46,08-36 69 36,1986-12-19,True
Oscar,Bergdahl,Ängsgatan 967,Alingsås,91243,Sverige,SE,19500123-7412,+46,+46 (0)8 116 267 14,1950-01-23,True
Karl,Kiviniemi,Werner Wirénin polku 01,Orivesi,53606,Finland,FI,19760714-006J,+358,+358 830299424,1976-07-14,True
James,Gray,Dwayne Haven 67760,Nicoleport,53188,Danmark,DK,19771212-9282,+45,+1-865-931-2529x3929,1977-12-12,True
Berndt,Hedlund,Björkgatan 885,Halmstad,65803,Sverige,SE,19811218-4348,+46,08-73 09 29,1981-12-18,True
Ingvar,Ahlström,Kyrkovägen 01,Alingsås,52538,Sverige,SE,19440706-7593,+46,0412-29 76 41,1944-07-06,True
Kenneth,Svensson,Kyrkovägen 321,Trollhättan,60670,Sverige,SE,19870301-5981,+46,+46 (0)486 136 88,1987-03-01,True
Irene,Larsson,Nygatan 975,Nyköping,41819,Sverige,SE,19980602-2303,+46,0001-34 49 91,1998-06-02,True
Marcus,Lind,Industrivägen 1,Växjö,78967,Sverige,SE,19840923-5348,+46,0757-126 32,1984-09-23,False
Adam,Engström,Järnvägsstigen 07,Skellefteå,70997,Sverige,SE,19541123-7716,+46,002-42 31 75,1954-11-23,True
Helena,Hassan,Furustigen 159,Jönköping,20602,Sverige,SE,19980602-1809,+46,0457-01 57 17,1998-06-02,True
Rasmus,Heinonen,Veräjämäentie 336,Sysmä,90139,Finland,FI,19940317-6002,+358,0718299139,1994-03-17,True
Peter,Bergvall,Fabriksstigen 6,Piteå,12519,Sverige,SE,19500801-5290,+46,061-21 67 45,1950-08-01,True
Amanda,Mcdowell,Steven Island 484,Port Hannahton,27644,Danmark,DK,19490317-4113,+45,(355)964-9284,1949-03-17,True
Stian,Knudsen,Antonsenkroken 5,Moen,6053,Norge,NO,19940814-1905,+47,95140725,1994-08-14,True
Malin,Aune,Olsenlunden 645,Lien,2449,Norge,NO,19850120-5640,+47,900 49 295,1985-01-20,True
Deborah,Thompson,Jose Summit 175,New Natalieton,65751,Danmark,DK,19871010-5368,+45,898.706.0995,1987-10-10,True
Martin,Eriksson,Fabriksvägen 8,Lidköping,78569,Sverige,SE,19461209-1745,+46,+46 (0)13 86 13 33,1946-12-09,True
Anette,Aas,Ruudskogen 593,Birkeland,1302,Norge,NO,19740710-0812,+47,97677522,1974-07-10,True
James,Jones,Daniel Ports 51134,Jasonhaven,43429,Danmark,DK,19540318-8865,+45,(230)779-0716x519,1954-03-18,True
Laila,Johannessen,Jensenløkka 7,Haug,3623,Norge,NO,19800909-7986,+47,03479808,1980-09-09,True
Klas,Larsson,Kyrkogränd 648,Trollhättan,24865,Sverige,SE,19550929-7899,+46,08-439 50 20,1955-09-29,True
Timothy,Glenn,Lloyd Pass 25579,Port Sandra,07856,Danmark,DK,19640816-7095,+45,(758)249-1198x5400,1964-08-16,True
Erling,Simonsen,Christensenmyra 824,Isaksen,9272,Norge,NO,19810927-6532,+47,51 93 63 20,1981-09-27,True
Birgitta,Lindh,Ängsgatan 188,Halmstad,68381,Sverige,SE,19741010-6928,+46,0593-87 39 21,1974-10-10,True
Charles,Abrahamsson,Kyrkogatan 19,Landskrona,80449,Sverige,SE,19860623-0350,+46,+46 (0)66 10 17 22,1986-06-23,True
Bror,Nordin,Ringvägen 7,Varberg,17691,Sverige,SE,19631205-2831,+46,060-92 18 21,1963-12-05,True
Olof,Brandt,Ektorget 0,Östersund,68938,Sverige,SE,19570105-1300,+46,08-444 233 13,1957-01-05,True
Evald,Johansson,Parkgränd 77,Lidingö,83432,Sverige,SE,20000624-8672,+46,+46 (0)74 47 82 22,2000-06-24,True
Evald,Christensen,Trädgårdsvägen 871,Örnsköldsvik,90068,Sverige,SE,19490226-1171,+46,+46 (0)8 328 094 66,1949-02-26,True
Anna,Johansson,Parktorget 29,Trelleborg,52619,Sverige,SE,19401018-4051,+46,048-511 57 87,1940-10-18,True
Christine,Fors,Bäcktorget 22,Linköping,83375,Sverige,SE,19671207-6130,+46,08-753 81 17,1967-12-07,True
Johanna,Johnsson,Stationsstigen 81,Halmstad,47848,Sverige,SE,19950625-0530,+46,08-767 85 52,1995-06-25,True
Robert,Nilsson,Ringgränd 65,Örnsköldsvik,54747,Sverige,SE,19820711-8528,+46,0802-34 13 83,1982-07-11,True
Linda,Johansson,Björkstigen 2,Linköping,68009,Sverige,SE,19730815-3662,+46,+46 (0)964 362 14,1973-08-15,True
Sindre,Abrahamsen,Ahmedroa 38H,Strøm,2207,Norge,NO,19710514-2500,+47,+47 86 27 14 35,1971-05-14,True
Karen,Jensen,Ahmedgropa 90D,Brekke,0520,Norge,NO,19831121-7625,+47,+47 89 38 58 47,1983-11-21,True
Malin,Sjöholm,Skogstorget 50,Skellefteå,48494,Sverige,SE,19950719-5926,+46,08-190 57 72,1995-07-19,True
Jan,Mikkelsen,Amundsenfaret 7,Robertgrunn,2775,Norge,NO,19540511-3227,+47,433 32 153,1954-05-11,True
Lena,Hammarström,Industrigatan 00,Uddevalla,19046,Sverige,SE,19891022-8306,+46,036-473 77 16,1989-10-22,True
Victoria,Olsson,Trädgårdsgatan 3,Luleå,46773,Sverige,SE,19510201-1197,+46,+46 (0)8 097 151 81,1951-02-01,True
Vincent,Holm,Trädgårdstorget 5,Uppsala,97260,Sverige,SE,19560209-7675,+46,087-88 54 51,1956-02-09,True
Aaron,Henderson,Jimmy Rue 07384,Dunnmouth,87778,Danmark,DK,19510825-3121,+45,001-210-821-3304x34418,1951-08-25,True
Tony,Nilsson,Skogsvägen 271,Malmö,15812,Sverige,SE,19680604-8486,+46,08-39 37 74,1968-06-04,True
Viktoria,Svensson,Strandgränd 410,Uddevalla,60493,Sverige,SE,19810610-8550,+46,0200-371 61,1981-06-10,True
Petter,Andersson,Kyrkostigen 7,Kalmar,97729,Sverige,SE,19961122-8260,+46,0441-28 06 52,1996-11-22,True
Aud,Arnesen,Vikhavna 1,Tonefjell,4120,Norge,NO,19910501-6026,+47,03642374,1991-05-01,True
Magne,Gulbrandsen,Haugentjernet 9,Jørgensen,3576,Norge,NO,19650722-2999,+47,+4773412317,1965-07-22,True
May,Paulsen,Bøespranget 30,Andresen,5325,Norge,NO,19670517-5408,+47,48 82 39 76,1967-05-17,True
Gunnar,Johannesson,Ängsgatan 69,Norrköping,96688,Sverige,SE,19520624-4674,+45,0778-280 52,1952-06-24,True
Daniel,Ray,Jeremy Road 720,West Monica,93683,Danmark,DK,19940428-1572,+45,403-432-8327,1994-04-28,True
Frode,Sørensen,Kristiansenflata 7A,Sebastianodden,2345,Norge,NO,19531012-0271,+47,77 38 53 34,1953-10-12,True
Sebastian,Hagen,Brekkeberget 2C,Sæther,6286,Norge,NO,19400812-2031,+47,+4709446831,1940-08-12,True
Stian,Sørensen,Aunemarka 6,Ahmed,0044,Norge,NO,19481223-0787,+47,82745404,1948-12-23,True
Anna,Lundgren,Aspgatan 1,Gävle,35058,Sverige,SE,19640909-6113,+46,08-559 433 35,1964-09-09,True
Patrik,Johansson,Kyrkotorget 214,Kalmar,48882,Sverige,SE,19930110-5274,+46,0115-06 86 39,1993-01-10,True
Allison,Chen,Perkins Knolls 74572,Jonesmouth,74969,Danmark,DK,19501111-7674,+45,(342)438-6859x099,1950-11-11,False
Vera,Söderström,Parkgatan 91,Kristianstad,15707,Sverige,SE,19431221-4854,+46,0788-30 09 49,1943-12-21,True
Daniel,Rønning,Moemoen 9,Norahelle,1945,Norge,NO,19900814-2825,+47,94609707,1990-08-14,True
Mats,Grönlund,Bäckvägen 6,Kristianstad,98551,Sverige,SE,19950524-7257,+46,08-82 48 92,1995-05-24,True
Margareta,Malmgren,Asptorget 900,Piteå,28403,Sverige,SE,19610312-4947,+46,081-617 43 99,1961-03-12,True
Patrick,Dahlin,Idrottsgatan 66,Karlstad,18883,Sverige,SE,19441215-1575,+46,08-243 47 32,1944-12-15,True
Megan,Carey,Davenport Squares 10034,Lake Danielleborough,70173,Danmark,DK,19780620-9338,+45,383.961.8695,1978-06-20,True
Carl,Carpenter,Burke Mission 93294,South Brentside,59920,Danmark,DK,19810221-4740,+45,654.759.3762x840,1981-02-21,True
Roger,Olsson,Parkgränd 9,Karlskoga,19384,Sverige,SE,19500802-8987,+46,0111-321 20,1950-08-02,True
Jonas,Simonsen,Viktjernet 2D,Solveigdal,1794,Norge,NO,19791009-7818,+47,13 64 59 48,1979-10-09,True
Michael,Holloway,Mckinney Loop 8970,West Anthonyburgh,26312,Danmark,DK,19851225-1421,+45,895.946.2760x41314,1985-12-25,True
Per,Kristoffersson,Skolgränd 36,Kristianstad,14388,Sverige,SE,19900311-8871,+45,023-53 78 50,1990-03-11,True
Ragnar,Vallin,Björkgatan 801,Jönköping,92482,Sverige,SE,19850324-4407,+46,+46 (0)94 21 81 26,1985-03-24,True
Natalie,Henderson,Rodriguez Pine 26256,Christopherstad,15720,Danmark,DK,19580825-9619,+45,736-316-3255,1958-08-25,True
Marita,Hallin,Skogsgatan 9,Linköping,16387,Sverige,SE,20000929-8994,+46,+46 (0)14 14 99 61,2000-09-29,True
Susan,Elliott,Tabitha Club 3415,East James,42993,Danmark,DK,19700311-6286,+45,803.228.8013x47847,1970-03-11,True
Elin,Karlsson,Genvägen 57,Borås,51708,Sverige,SE,19420219-4326,46,08-351 71 64,1942-02-19,True
Simen,Abrahamsen,Haugenkollen 24,Åsestrøm,4783,Norge,NO,19730321-7311,+47,59 57 88 46,1973-03-21,True
Charlotte,Larsson,Kyrkgatan 858,Västerås,91621,Sverige,SE,19480122-8415,+46,0377-779 30,1948-01-22,True
Siri,Karlsson,Bäckvägen 758,Skellefteå,11753,Sverige,SE,19580816-9159,+46,0051-521 74,1958-08-16,True
Johnny,Matthews,Roberts Mill 139,East Ashley,52806,Danmark,DK,19690814-8353,+45,+1-709-247-3934x59715,1969-08-14,True
Axel,Abdullah,Industrivägen 2,Skövde,80789,Sverige,SE,19780713-3483,+46,0339-89 00 36,1978-07-13,True
Ronald,Kelly,Melinda Burgs 1734,New Emma,01269,Danmark,DK,19810103-5649,+45,754-592-8717x020,1981-01-03,True
Carl,Andersson,Parkstigen 983,Trelleborg,95968,Sverige,SE,19551223-5166,+46,08-184 31 61,1955-12-23,True
Nina,Claesson,Industrivägen 50,Borlänge,68839,Sverige,SE,19750616-5239,+46,+46 (0)974 734 12,1975-06-16,True
Julian,Perkins,Villa Harbors 780,East Patricia,32959,Danmark,DK,19980728-7823,+45,(781)214-0844x368,1998-07-28,True
Sara,Odonnell,Lee Forest 730,New Kevin,55101,Danmark,DK,19541030-9428,+45,(567)201-1464x699,1954-10-30,True
Abdi,Boström,Ekgatan 0,Ängelholm,21627,Sverige,SE,19431025-2980,+46,+46 (0)8 186 965 16,1943-10-25,True
Samuel,Jacobsson,Grangatan 3,Uddevalla,76946,Sverige,SE,19660321-6622,+46,0224-483 68,1966-03-21,True
Angelica,Hussein,Ekgränd 670,Karlskrona,45696,Sverige,SE,19910527-2878,+46,08-97 09 36,1991-05-27,True
Sven,Axelsson,Bäcktorget 975,Uppsala,61530,Sverige,SE,19520902-9616,+46,+46 (0)68 63 82 89,1952-09-02,True
Marie,Eliassen,Andreassenhavna 55,Haugen,2923,Norge,NO,19590120-6861,+47,92172721,1959-01-20,True
Terri,Johnson,Rivera Garden 90961,Port Jessicatown,46529,Danmark,DK,19841221-3980,+45,548-979-8727x0740,1984-12-21,True
Rachel,Vaughan,Aguirre Roads 79903,West Alexland,21455,Danmark,DK,19930920-9588,+45,(289)585-6706x27613,1993-09-20,True
Johanna,Lindquist,Kyrkvägen 183,Mölndal,87725,Sverige,SE,19870415-5266,+46,+46 (0)982 704 47,1987-04-15,True
Mika,Petersson,Skolgränd 425,Alingsås,75225,Sverige,SE,19440515-0425,+46,08-942 28 26,1944-05-15,True
Ingrid,Lindquist,Järnvägsgränd 55,Lidköping,51371,Sverige,SE,19510724-7841,+46,08-828 78 28,1951-07-24,True
Siri,Karlsen,Johansenrøa 77,Isaksen,1707,Norge,NO,19741206-7928,+47,+4734361693,1974-12-06,True
